Ph,N,P,K,Zinc,Sulfur,Soil_Type,Rainfall,Wind_Speed,Humidity_Winter,Humidity_Spring,Humidity_Summer,Humidity_Autumn,State,District,Altitude,Season,Market_Demand,Water_Availability,Crop
5.47,0.23,0.83888,217.874,0.723258,11.88,red,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Bihar,Muzaffarpur,1011,Kharif,9.9,86.0598733303014,Barley
6.43,0.23,46.842,417.185,1.17,15.386,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Punjab,Patiala,90,Zaid,6.5,119.50654251428872,Barley
6.06,0.23,1.505,149.357,0.754669,11.35,red,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Maharashtra,Nashik,581,Kharif,5.2,430.0872935583367,Barley
5.6,0.23,3.822,423.766,2.093,12.197,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Gujarat,Ahmedabad,841,Rabi,7.3,411.8766260144646,Barley
6.03,0.23,66.314,351.523,1.157,17.559,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Bihar,Patna,869,Kharif,7.4,261.2977058923986,Barley
5.25,0.23,2.601,164.48,3.62,10.133,gray,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Tamil Nadu,Coimbatore,477,Zaid,7.1,284.2146585289647,Barley
6.17,0.23,6.166,77.385,0.942004,10.85,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Uttar Pradesh,Lucknow,1102,Kharif,7.0,417.839384255524,Barley
6.15,0.23,5.055,116.77,1.831,10.016,black,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Lucknow,861,Rabi,8.0,169.3862780843512,Barley
5.79,0.23,4.894,137.386,2.773,8.975,black,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Agra,342,Zaid,5.2,80.68526898221043,Barley
5.99,0.23,12.275,81.482,1.082,10.742,Reddish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,West Bengal,Durgapur,465,Zaid,9.4,275.8340181706227,Barley
5.9,0.23,2.025,196.733,1.705,14.6,black,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Bihar,Muzaffarpur,502,Zaid,6.8,479.9685999329054,Barley
5.65,0.23,0.412473,388.938,1.237,10.498,Yellowish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Gujarat,Surat,1089,Kharif,7.6,98.15155781732022,Barley
5.84,0.23,12.296,146.312,1.414,11.191,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Coimbatore,519,Kharif,9.8,483.5490559079787,Barley
5.99,0.23,7.601,55.789,1.355,11.674,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Madurai,1039,Rabi,8.4,169.110903516115,Barley
5.8,0.321,4.0,276.0,2.0,9.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Surat,801,Zaid,7.4,94.86249399982592,Barley
6.3,0.23,80.748,277.673,1.209,11.417,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Varanasi,780,Kharif,5.0,407.45784439612805,Barley
5.93,0.23,6.988,234.671,0.925432,11.54,Reddish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Madurai,75,Rabi,9.3,469.460550035816,Barley
6.05,0.23,7.112,96.094,0.923301,11.728,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Udaipur,1102,Rabi,5.5,183.24563541845703,Barley
5.63,0.23,3.883,508.623,0.679485,12.999,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Gujarat,Surat,266,Kharif,9.8,353.778521994808,Barley
5.99,0.23,74.965,403.938,1.985,16.624,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Udaipur,450,Rabi,7.8,209.5608559837144,Barley
5.9,0.2526,12.0,347.0,3.5,11.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Ahmedabad,315,Rabi,8.0,384.5662966127904,Barley
5.2,0.23,8.851,135.701,3.177,12.095,Dark Brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Varanasi,624,Rabi,8.7,338.02245189054736,Barley
6.21,0.23,13.07,175.786,1.443,9.367,Reddish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Madurai,1002,Rabi,9.5,458.6512071699585,Barley
5.57,0.23,8.048,71.766,3.137,5.906,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Punjab,Patiala,152,Rabi,8.5,209.45616448548756,Barley
6.05,0.23,168.213,697.628,1.814,15.609,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Jodhpur,197,Rabi,6.8,64.91484618191552,Barley
6.01,0.23,58.65,285.655,1.733,10.517,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Jodhpur,192,Kharif,5.2,126.74402310735827,Barley
5.85,0.23,3.766,183.472,1.44,11.939,black,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Jaipur,693,Rabi,5.1,164.7423877226433,Barley
6.15,0.23,5.095,89.77,0.999941,11.033,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Bihar,Patna,627,Zaid,9.2,419.1622151307967,Barley
6.1,0.2365,12.0,420.0,2.2,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jaipur,229,Kharif,10.0,240.4399239888532,Barley
5.57,0.23,6.915,267.393,1.064,13.226,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Madhya Pradesh,Bhopal,1094,Rabi,6.0,429.45446633603007,Barley
5.45,0.23,2.712,449.394,3.157,13.146,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Bihar,Muzaffarpur,890,Zaid,6.6,106.28843024215246,Barley
5.61,0.23,4.224,161.458,1.325,12.158,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Varanasi,287,Rabi,9.5,389.1037847157686,Barley
6.0,0.23,6.002,98.899,0.646985,10.839,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Lucknow,1198,Kharif,6.0,480.5990849527884,Barley
5.74,0.23,3.149,177.9,1.03,12.044,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Madhya Pradesh,Indore,528,Zaid,6.6,494.5006093715493,Barley
5.71,0.23,4.908,366.933,0.812608,16.75,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Madhya Pradesh,Bhopal,168,Zaid,9.6,57.34620100220555,Barley
5.7,0.3493,7.0,191.0,3.5,8.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Madurai,1129,Zaid,6.1,69.70779497177736,Barley
6.0,0.2681,15.0,296.0,3.3,13.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Madurai,336,Rabi,7.2,103.23576864589076,Barley
5.7,0.358,12.0,241.0,3.0,13.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jodhpur,1167,Rabi,6.4,276.57771790649247,Barley
5.8,0.3411,6.0,182.0,3.0,8.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Udaipur,827,Kharif,6.5,418.2457423954959,Barley
6.4,0.1255,50.0,239.0,1.3,17.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jodhpur,449,Zaid,6.7,288.8226704572427,Barley
5.7,0.2748,4.0,208.0,2.8,6.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Gwalior,812,Zaid,5.9,101.44933127196263,Barley
5.9,0.219,8.0,242.0,2.4,9.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Maharashtra,Nashik,318,Rabi,9.0,424.7236425695104,Barley
5.8,0.2242,11.0,343.0,3.2,7.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Rajkot,1117,Kharif,5.2,146.39064262120678,Barley
6.0,0.2734,11.0,318.0,3.3,6.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Mysore,800,Zaid,8.7,297.0164574283401,Barley
6.3,0.1702,10.0,295.0,2.2,5.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Muzaffarpur,913,Zaid,8.5,460.509075999465,Barley
6.07,0.23,13.546,125.216,1.459,11.334,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Maharashtra,Nagpur,272,Rabi,7.8,362.5825393963368,Barley
5.56,0.23,5.391,158.106,2.349,14.209,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Varanasi,985,Rabi,5.7,248.3052474817202,Barley
6.25,0.23,84.785,55.791,0.769416,5.549,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Udaipur,1014,Zaid,5.5,322.3435665404656,Barley
6.3,0.1754,5.0,159.0,1.4,6.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Surat,807,Kharif,5.7,375.6409387380176,Barley
5.9,0.2145,4.0,185.0,1.5,8.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Bangalore,82,Rabi,8.3,480.0298593809756,Barley
5.9,0.2905,3.0,316.0,3.4,6.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,West Bengal,Durgapur,631,Rabi,6.9,233.4268228470084,Barley
6.1,0.2087,164.0,910.0,3.3,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Gwalior,887,Kharif,6.6,301.1379645835352,Barley
5.7,0.23,17.626,187.345,1.087,15.959,gray,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Jaipur,215,Rabi,6.9,436.2244713915613,Barley
5.61,0.23,291.856,1458.2,3.463,21.958,gray,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Maharashtra,Nashik,74,Rabi,6.8,155.8132912575419,Barley
5.63,0.23,23.076,391.602,2.039,17.165,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Karnataka,Bangalore,432,Rabi,6.5,248.6816595985515,Barley
6.35,0.23,3.226,104.195,1.098,12.622,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Karnataka,Mysore,538,Kharif,9.2,497.0722961234359,Barley
6.0,0.2593,3.0,226.0,1.9,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Patna,1141,Rabi,6.4,205.01529723263025,Barley
6.1,0.1692,96.0,415.0,2.2,10.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Lucknow,998,Kharif,5.6,74.17283573124928,Barley
5.8,0.184,7.0,319.0,2.1,7.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Gaya,301,Rabi,8.0,448.38329904686015,Barley
5.61,0.23,16.899,237.341,1.708,13.733,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Madurai,423,Kharif,5.0,437.3264523028646,Barley
5.95,0.23,6.494,97.358,1.724,12.492,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Punjab,Ludhiana,1111,Kharif,6.4,473.5301441289507,Barley
5.85,0.23,6.252,90.749,1.879,13.922,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Maharashtra,Nashik,280,Zaid,5.8,136.53068610995007,Barley
6.0,0.3063,9.0,338.0,2.7,11.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Agra,909,Zaid,5.4,320.3542895075635,Barley
6.2,0.2363,22.0,287.0,2.0,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Bhopal,787,Kharif,6.3,200.22815482315835,Barley
6.3,0.2935,8.0,196.0,1.8,10.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Maharashtra,Nashik,934,Kharif,5.6,226.2163430777793,Barley
5.9,0.2902,18.0,177.0,2.1,10.0,black,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Bhopal,914,Rabi,8.8,394.0636642663897,Barley
6.1,0.2591,39.0,461.0,3.7,10.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Rajkot,731,Zaid,5.2,110.1180848102494,Barley
5.95,0.23,2.253,214.852,1.704,11.793,black,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Maharashtra,Pune,1125,Zaid,5.7,419.8837812886526,Barley
5.5,0.3693,5.0,90.0,1.2,11.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Rajkot,954,Kharif,7.9,216.05256847056896,Barley
5.6,0.4014,18.0,395.0,6.3,8.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Indore,200,Zaid,5.9,101.0004153169456,Barley
5.9,0.286,13.0,360.0,5.4,8.0,black,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Surat,626,Zaid,9.6,215.0013965544977,Barley
6.2,0.1405,9.0,361.0,1.6,4.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,West Bengal,Kolkata,1139,Rabi,7.5,448.22544654253113,Barley
5.7,0.2039,3.0,245.0,3.1,6.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Punjab,Patiala,586,Rabi,5.7,398.84022344566097,Barley
5.6,0.2174,107.0,505.0,3.6,11.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Hubli,525,Rabi,9.3,351.71808940984226,Barley
5.6,0.2437,6.0,115.0,2.6,8.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Punjab,Amritsar,353,Rabi,8.2,381.4093834270397,Barley
5.4,0.1572,48.0,271.0,3.3,9.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Patna,706,Kharif,8.3,425.4189741903064,Barley
5.9,0.171,4.0,401.0,2.0,5.0,black,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Coimbatore,1102,Kharif,8.4,285.111782257599,Barley
5.7,0.2482,6.0,450.0,3.6,10.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Udaipur,360,Rabi,7.6,474.33954367363714,Barley
5.4,0.2142,5.0,106.0,2.2,10.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Gaya,866,Kharif,8.1,165.0546904825576,Barley
6.2,0.1693,7.0,336.0,1.9,8.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Muzaffarpur,226,Rabi,8.8,460.2497291895872,Barley
5.8,0.1218,2.0,326.0,0.9,8.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Punjab,Amritsar,1191,Kharif,9.6,451.11191751807024,Barley
6.0,0.2287,5.0,454.0,1.8,8.0,black,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jodhpur,313,Zaid,9.4,218.3891262357253,Barley
5.5,0.2333,8.0,276.0,2.2,11.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Gujarat,Ahmedabad,333,Zaid,5.6,168.09066121539144,Barley
5.4,0.2385,8.0,82.0,2.3,19.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Agra,842,Kharif,6.3,107.38311767656025,Barley
6.0,0.197,85.0,520.0,4.2,9.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Hubli,1108,Kharif,9.5,470.3598916358405,Barley
6.5,0.2918,6.0,272.0,2.0,12.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Udaipur,1074,Kharif,5.1,145.53328389553863,Barley
5.72,0.23,25.574,298.895,2.605,14.326,Yellowish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Agra,455,Rabi,6.3,92.11271832365432,Barley
5.9,0.2116,2.0,353.0,1.7,5.0,black,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Chennai,472,Kharif,6.8,298.4901357957267,Barley
5.5,0.4366,4.0,112.0,4.0,6.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Agra,339,Zaid,9.5,84.51696267619377,Barley
6.1,0.3835,6.0,155.0,2.9,11.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Varanasi,1039,Rabi,6.9,195.23626796938817,Barley
6.2,0.3112,9.0,338.0,3.5,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Lucknow,152,Zaid,9.6,171.90261934277356,Barley
5.7,0.3332,18.0,445.0,3.1,10.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Hubli,685,Zaid,8.5,221.20281429406265,Barley
6.2,0.2485,5.0,259.0,1.8,9.0,black,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jaipur,655,Rabi,8.1,111.74432099895898,Barley
5.89,0.23,7.282,104.592,2.11,11.137,Redish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Gujarat,Surat,421,Kharif,9.5,123.44461432818106,Barley
5.7,0.4052,34.0,382.0,3.0,14.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Bhopal,652,Kharif,9.8,405.5794460183725,Barley
6.1,0.3525,13.0,330.0,4.1,8.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Agra,761,Zaid,9.9,91.27634409360098,Barley
5.8,0.2667,5.0,350.0,2.3,9.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Gaya,535,Rabi,7.3,334.9297397332677,Barley
5.9,0.3302,3.0,258.0,2.8,11.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Coimbatore,1069,Kharif,9.3,82.15521336696182,Barley
6.4,0.3736,5.0,227.0,2.5,12.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Muzaffarpur,771,Kharif,6.3,81.04275048475007,Barley
6.15,0.23,5.885,105.534,0.559253,13.458,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Madhya Pradesh,Indore,287,Kharif,5.1,436.4332317477162,Barley
5.53,0.284,5.05,90.077,3.265,11.474,Reddish brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Coimbatore,930,Rabi,5.8,474.7496750007412,Barley
5.71,0.23,1.559,127.07,2.129,10.983,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Maharashtra,Nashik,748,Zaid,9.4,260.04416475696667,Barley
6.0,0.284,2.0,108.0,1.9,5.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jaipur,348,Kharif,6.9,246.3968116928019,Barley
6.3,0.1618,4.0,176.0,1.3,8.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Indore,579,Zaid,5.6,456.6187209975306,Barley
6.1,0.2234,7.0,143.0,2.1,9.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,West Bengal,Durgapur,365,Rabi,5.5,474.2313450188399,Barley
5.8,0.2927,46.0,354.0,2.9,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Maharashtra,Nagpur,391,Kharif,8.1,353.1106478651577,Barley
5.8,0.2764,6.0,272.0,2.5,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Muzaffarpur,169,Zaid,6.0,186.2977646708713,Barley
6.2,0.3056,5.0,149.0,1.1,10.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Muzaffarpur,246,Kharif,7.2,460.6883176012936,Barley
6.1,0.1778,8.0,199.0,2.0,8.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Punjab,Amritsar,656,Zaid,7.0,75.71366595707877,Barley
5.65,0.23,2.055,142.876,1.729,14.182,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Bihar,Gaya,1162,Rabi,5.4,420.0870584768601,Barley
6.58,0.23,7.49,87.688,0.588125,15.738,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Karnataka,Mysore,430,Rabi,5.9,156.6057384774076,Barley
5.44,0.284,4.267,77.649,3.002,17.644,Reddish brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Agra,158,Kharif,8.6,477.6445955738738,Barley
6.1,0.2291,3.0,189.0,1.8,8.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Indore,647,Kharif,8.8,324.8364975978387,Barley
6.6,0.1575,8.0,241.0,1.4,9.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Madurai,213,Zaid,5.2,227.43149365718372,Barley
5.5,0.2921,27.0,223.0,2.9,6.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Maharashtra,Nagpur,179,Kharif,9.8,402.5344811041018,Barley
6.0,0.2719,149.0,541.0,6.0,7.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Punjab,Patiala,920,Kharif,7.1,368.2101873848002,Barley
6.2,0.3093,3.0,173.0,1.9,7.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Maharashtra,Nagpur,488,Rabi,5.8,96.51514099995644,Barley
5.6,0.2741,4.0,184.0,2.5,5.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Tamil Nadu,Chennai,317,Zaid,5.6,238.4471869868001,Barley
5.9,0.2375,5.0,426.0,2.6,9.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Mysore,775,Kharif,9.6,387.2552048844135,Barley
5.7,0.3132,6.0,126.0,2.0,12.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Hubli,62,Rabi,7.5,455.2332563610716,Barley
6.0,0.2171,40.0,410.0,3.3,13.0,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Punjab,Ludhiana,541,Zaid,9.0,421.33114692193806,Barley
5.9,0.2992,8.0,400.0,4.9,12.0,red,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Madhya Pradesh,Gwalior,635,Zaid,9.4,348.7946168812774,Barley
5.78,0.23,6.59,145.527,1.35,11.18,red,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Rajasthan,Udaipur,1106,Rabi,7.9,444.58671850423343,Barley
5.17,0.284,2.586,109.74,2.688,10.666,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Gujarat,Surat,549,Kharif,10.0,372.9135693722906,Barley
6.0,0.23,2.35,176.215,1.312,12.416,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,West Bengal,Kolkata,662,Zaid,7.3,356.9690789278514,Barley
6.1,0.1679,90.0,344.0,3.6,11.0,other,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Hubli,658,Zaid,7.4,213.0707878400511,Barley
5.67,0.2992,7.375,246.058,1.959,19.396,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Bihar,Muzaffarpur,994,Kharif,6.0,424.48034860921314,Barley
5.36,0.23,5.241,281.322,1.403,18.04,black,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Uttar Pradesh,Varanasi,659,Rabi,7.5,177.53160808521378,Barley
5.56,0.284,8.902,254.987,2.811,12.475,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Coimbatore,309,Kharif,5.1,303.9667930182414,Barley
5.56,0.23,8.898,310.09,2.489,17.464,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Karnataka,Hubli,94,Zaid,8.5,89.16806845314525,Barley
5.62,0.2375,16.098,131.747,2.358,19.507,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Uttar Pradesh,Agra,835,Kharif,7.5,175.55790911880774,Barley
5.3,0.23,7.103,316.18,4.045,23.1,brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Gujarat,Ahmedabad,1158,Zaid,6.0,317.68000686209774,Barley
5.75,0.1679,8.462,82.48,3.52,21.88,brown,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,Rajasthan,Jaipur,61,Kharif,7.4,187.6813400138605,Barley
5.26,0.23,6.197,360.591,3.644,15.852,gray,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Gujarat,Rajkot,1071,Kharif,6.0,163.93801982084153,Barley
5.45,0.23,56.046,701.198,4.109,18.966,Dark brown,1.17,6.48,7.65,7.773333333,10.98666667,9.726666667,Tamil Nadu,Madurai,815,Zaid,6.8,61.504045233822566,Barley
5.53,0.2992,10.201,284.279,2.244,21.189,Reddish gray,2.073333333,46.1,7.183333333,7.65,10.47666667,9.07,West Bengal,Durgapur,935,Rabi,5.6,418.8786703046877,Barley
